Date,3-month,1-year,2-year,3-year,5-year,10-year
1953-04,2.19,2.36,2.435,2.51,2.62,2.83
1953-05,2.16,2.48,2.6,2.72,2.87,3.05
1953-06,2.11,2.45,2.595,2.74,2.94,3.11
1953-07,2.04,2.38,2.5,2.62,2.75,2.93
1953-08,2.04,2.28,2.43,2.58,2.8,2.95
1953-09,1.79,2.2,2.38,2.56,2.71,2.87
1953-10,1.38,1.79,2.01,2.23,2.43,2.66
1953-11,1.44,1.67,1.935,2.2,2.42,2.68
1953-12,1.6,1.66,1.865,2.07,2.32,2.59
1954-01,1.18,1.41,1.65,1.89,2.17,2.48
1954-02,0.97,1.14,1.385,1.63,2.04,2.47
1954-03,1.03,1.13,1.36,1.59,1.93,2.37
1954-04,0.97,0.96,1.25,1.54,1.87,2.29
1954-05,0.76,0.85,1.205,1.56,1.92,2.37
1954-06,0.64,0.82,1.175,1.53,1.92,2.38
1954-07,0.72,0.84,1.155,1.47,1.85,2.3
1954-08,0.92,0.88,1.185,1.49,1.9,2.36
1954-09,1.01,1.03,1.315,1.6,1.96,2.38
1954-10,0.98,1.17,1.445,1.72,2.02,2.43
1954-11,0.93,1.14,1.445,1.75,2.09,2.48
1954-12,1.15,1.21,1.51,1.81,2.16,2.51
1955-01,1.22,1.39,1.69,1.99,2.32,2.61
1955-02,1.17,1.57,1.845,2.12,2.38,2.65
1955-03,1.28,1.59,1.925,2.26,2.48,2.68
1955-04,1.59,1.75,2.06,2.37,2.55,2.75
1955-05,1.45,1.9,2.135,2.37,2.56,2.76
1955-06,1.41,1.91,2.15,2.39,2.59,2.78
1955-07,1.6,2.02,2.265,2.51,2.72,2.9
1955-08,1.9,2.37,2.545,2.72,2.86,2.97
1955-09,2.07,2.36,2.525,2.69,2.85,2.97
1955-10,2.23,2.39,2.505,2.62,2.76,2.88
1955-11,2.24,2.48,2.605,2.73,2.81,2.89
1955-12,2.54,2.73,2.805,2.88,2.93,2.96
1956-01,2.41,2.58,2.68,2.78,2.84,2.9
1956-02,2.32,2.49,2.58,2.67,2.74,2.84
1956-03,2.25,2.61,2.75,2.89,2.93,2.96
1956-04,2.6,2.92,3.055,3.19,3.2,3.18
1956-05,2.61,2.94,3.01,3.08,3.08,3.07
1956-06,2.49,2.74,2.845,2.95,2.97,3
1956-07,2.31,2.76,2.91,3.06,3.12,3.11
1956-08,2.6,3.1,3.245,3.39,3.41,3.33
1956-09,2.84,3.35,3.425,3.5,3.47,3.38
1956-10,2.9,3.28,3.34,3.4,3.4,3.34
1956-11,2.99,3.44,3.505,3.57,3.56,3.49
1956-12,3.21,3.68,3.72,3.76,3.7,3.59
1957-01,3.11,3.37,3.415,3.46,3.47,3.46
